"table_name","column_name","total_rows","null_count","null_percentage"
"customers","customer_city","99441","0","0.00"
"customers","customer_id","99441","0","0.00"
"customers","customer_state","99441","0","0.00"
"customers","customer_unique_id","99441","0","0.00"
"customers","customer_zip_code_prefix","99441","0","0.00"
"order_items","freight_value","112650","0","0.00"
"order_items","order_id","112650","0","0.00"
"order_items","price","112650","0","0.00"
"order_items","product_id","112650","0","0.00"
"order_items","seller_id","112650","0","0.00"
"order_payments","order_id","103886","0","0.00"
"order_payments","payment_type","103886","0","0.00"
"order_payments","payment_value","103886","0","0.00"
"order_reviews","order_id","99224","0","0.00"
"order_reviews","review_comment_message","99224","58247","58.70"
"order_reviews","review_comment_title","99224","87656","88.34"
"order_reviews","review_id","99224","0","0.00"
"order_reviews","review_score","99224","0","0.00"
"orders","customer_id","99441","0","0.00"
"orders","order_approved_at","99441","160","0.16"
"orders","order_delivered_carrier_date","99441","1783","1.79"
"orders","order_delivered_customer_date","99441","2965","2.98"
"orders","order_estimated_delivery_date","99441","0","0.00"
"orders","order_id","99441","0","0.00"
"orders","order_purchase_timestamp","99441","0","0.00"
"orders","order_status","99441","0","0.00"
"products","product_category_name","32951","610","1.85"
"products","product_description_lenght","32951","610","1.85"
"products","product_height_cm","32951","2","0.01"
"products","product_id","32951","0","0.00"
"products","product_length_cm","32951","2","0.01"
"products","product_name_lenght","32951","610","1.85"
"products","product_photos_qty","32951","610","1.85"
"products","product_weight_g","32951","2","0.01"
"products","product_width_cm","32951","2","0.01"
"sellers","seller_city","3095","0","0.00"
"sellers","seller_id","3095","0","0.00"
"sellers","seller_state","3095","0","0.00"
"sellers","seller_zip_code_prefix","3095","0","0.00"
